"","Date","Sessions","Pageviews","Users","New_Users","Number_Session","Pages_Session","Avg_S_Duration","Bounce"
"906",2014-09-03,37,92,27,15,1.37037037037037,2.48648648648649,99.4054054054054,0.513513513513513
"907",2014-09-04,51,260,35,22,1.45714285714286,5.09803921568627,416.372549019608,0.372549019607843
"908",2014-09-05,31,81,21,15,1.47619047619048,2.61290322580645,149.451612903226,0.580645161290323
"909",2014-09-06,22,128,17,14,1.29411764705882,5.81818181818182,268.318181818182,0.227272727272727
"910",2014-09-07,25,83,16,12,1.5625,3.32,221.16,0.48
"911",2014-09-08,41,129,32,18,1.28125,3.14634146341463,218.146341463415,0.536585365853659
"912",2014-09-09,26,47,24,15,1.08333333333333,1.80769230769231,33.5769230769231,0.5
"913",2014-09-10,38,99,32,24,1.1875,2.60526315789474,106.684210526316,0.447368421052632
"914",2014-09-11,32,87,26,14,1.23076923076923,2.71875,148.5,0.59375
"915",2014-09-12,47,114,38,25,1.23684210526316,2.42553191489362,166.808510638298,0.553191489361702
"916",2014-09-13,18,51,15,13,1.2,2.83333333333333,52.5555555555556,0.444444444444444
"917",2014-09-14,26,142,21,15,1.23809523809524,5.46153846153846,213.846153846154,0.346153846153846
"918",2014-09-15,54,148,39,26,1.38461538461538,2.74074074074074,335.62962962963,0.537037037037037
"919",2014-09-16,63,213,44,30,1.43181818181818,3.38095238095238,349.126984126984,0.365079365079365
"920",2014-09-17,49,124,34,18,1.44117647058824,2.53061224489796,189.673469387755,0.551020408163265
"921",2014-09-18,45,117,36,19,1.25,2.6,171.755555555556,0.511111111111111
"922",2014-09-19,24,75,24,15,1,3.125,222.458333333333,0.416666666666667
"923",2014-09-20,28,102,19,12,1.47368421052632,3.64285714285714,263.428571428571,0.535714285714286
"924",2014-09-21,15,48,12,9,1.25,3.2,165.866666666667,0.466666666666667
"925",2014-09-22,46,170,40,25,1.15,3.69565217391304,110.021739130435,0.565217391304348
"926",2014-09-23,36,93,30,19,1.2,2.58333333333333,180.25,0.472222222222222
"927",2014-09-24,41,252,25,10,1.64,6.14634146341463,381.853658536585,0.439024390243902
"928",2014-09-25,45,136,35,24,1.28571428571429,3.02222222222222,110.977777777778,0.444444444444444
"929",2014-09-26,39,118,36,26,1.08333333333333,3.02564102564103,165.307692307692,0.461538461538462
"930",2014-09-27,19,60,16,12,1.1875,3.15789473684211,72.4736842105263,0.736842105263158
"931",2014-09-28,14,51,13,10,1.07692307692308,3.64285714285714,153,0.428571428571429
