"","ds","trend","additive_terms","additive_terms_lower","additive_terms_upper","weekly","weekly_lower","weekly_upper","yearly","yearly_lower","yearly_upper","multiplicative_terms","multiplicative_terms_lower","multiplicative_terms_upper","yhat_lower","yhat_upper","trend_lower","trend_upper","yhat"
"1230",2015-07-24,3.27031134479377,0.103045560252613,0.103045560252613,0.103045560252613,0.137254940154715,0.137254940154715,0.137254940154715,-0.0342093799021016,-0.0342093799021016,-0.0342093799021016,0,0,0,2.9534499404539,3.80013924164834,3.27031134479377,3.27031134479377,3.37335690504638
"1231",2015-07-25,3.27032336785116,-0.732127312330199,-0.732127312330199,-0.732127312330199,-0.697601642239451,-0.697601642239451,-0.697601642239451,-0.0345256700907477,-0.0345256700907477,-0.0345256700907477,0,0,0,2.15531207393019,2.90849426363535,3.27032336785116,3.27032336785116,2.53819605552096
"1232",2015-07-26,3.27033539090855,-0.607148368770855,-0.607148368770855,-0.607148368770855,-0.572301603872986,-0.572301603872986,-0.572301603872986,-0.0348467648978693,-0.0348467648978693,-0.0348467648978693,0,0,0,2.27497912412437,3.08474147794056,3.27033539090855,3.27033539090855,2.6631870221377
"1233",2015-07-27,3.27034741396595,0.263124187132304,0.263124187132304,0.263124187132304,0.298205676142079,0.298205676142079,0.298205676142079,-0.0350814890097754,-0.0350814890097754,-0.0350814890097754,0,0,0,3.12996216514987,3.9322063396951,3.27034741396595,3.27034741396595,3.53347160109825
"1234",2015-07-28,3.27035943702334,0.276692602680685,0.276692602680685,0.276692602680685,0.3118448211271,0.3118448211271,0.3118448211271,-0.035152218446415,-0.035152218446415,-0.035152218446415,0,0,0,3.13564262707621,3.99353438039809,3.27035943702334,3.27035943702334,3.54705203970402
"1235",2015-07-29,3.27037146008073,0.248562150247329,0.248562150247329,0.248562150247329,0.283559671100091,0.283559671100091,0.283559671100091,-0.0349975208527618,-0.0349975208527618,-0.0349975208527618,0,0,0,3.13231181762228,3.90370346839643,3.27037146008073,3.27037146008073,3.51893361032806
"1236",2015-07-30,3.27038348313812,0.204463988118482,0.204463988118482,0.204463988118482,0.239038137587042,0.239038137587042,0.239038137587042,-0.0345741494685602,-0.0345741494685602,-0.0345741494685602,0,0,0,3.10016382387093,3.87533969175032,3.27038348313812,3.27038348313812,3.4748474712566
"1237",2015-07-31,3.27039550619551,0.103396613716511,0.103396613716511,0.103396613716511,0.137254940155987,0.137254940155987,0.137254940155987,-0.0338583264394757,-0.0338583264394757,-0.0338583264394757,0,0,0,2.9676157382254,3.77772679060595,3.27039550619551,3.27039550619551,3.37379211991202
"1238",2015-08-01,3.2704075292529,-0.730447916840006,-0.730447916840006,-0.730447916840006,-0.697601642239667,-0.697601642239667,-0.697601642239667,-0.0328462746003385,-0.0328462746003385,-0.0328462746003385,0,0,0,2.135177001482,2.94467044633613,3.2704075292529,3.2704075292529,2.5399596124129
"1239",2015-08-02,3.27041955231029,-0.603855585549254,-0.603855585549254,-0.603855585549254,-0.572301603871934,-0.572301603871934,-0.572301603871934,-0.0315539816773204,-0.0315539816773204,-0.0315539816773204,0,0,0,2.22651517429799,3.05031539705784,3.27041955231029,3.27041955231029,2.66656396676104
"1240",2015-08-03,3.27043157536768,0.268189469901083,0.268189469901083,0.268189469901083,0.298205676142667,0.298205676142667,0.298205676142667,-0.0300162062415847,-0.0300162062415847,-0.0300162062415847,0,0,0,3.15402467374842,3.94088551768506,3.27043157536768,3.27043157536768,3.53862104526877
"1241",2015-08-04,3.27044359842508,0.283560061214934,0.283560061214934,0.283560061214934,0.311844821126849,0.311844821126849,0.311844821126849,-0.0282847599119152,-0.0282847599119152,-0.0282847599119152,0,0,0,3.16966394597453,3.96603254006197,3.27044359842508,3.27044359842508,3.55400365964001
"1242",2015-08-05,3.27045562148247,0.25713354664854,0.25713354664854,0.25713354664854,0.28355967110007,0.28355967110007,0.28355967110007,-0.0264261244515299,-0.0264261244515299,-0.0264261244515299,0,0,0,3.1217064283048,3.93639669671955,3.27045562148247,3.27045562148247,3.52758916813101
"1243",2015-08-06,3.27046764453986,0.214519652812041,0.214519652812041,0.214519652812041,0.239038137586943,0.239038137586943,0.239038137586943,-0.0245184847749015,-0.0245184847749015,-0.0245184847749015,0,0,0,3.1168490893122,3.90340285266255,3.27046764453986,3.27046764453986,3.4849872973519
